dataset,variant,seed,epsilon,selected_threshold,validation_fp_rate,test_n_clean,test_fp_images,test_fp_rate,test_false_detections,test_fppi,n_retained,n_targets,tp50,fp50,fn50,precision,recall,mAP50
vnwoodknot,p4_a4_combined,44,0.01,0.05,0.0,75,0,0.0,0,0.0,311,155,144,167,11,0.4630225080385852,0.9290322580645162,0.8572319931468275
vnwoodknot,p4_a4_combined,42,0.02,0.05,0.013333333333333334,75,1,0.013333333333333334,1,0.013333333333333334,302,155,143,159,12,0.4735099337748344,0.9225806451612903,0.8530649669594415
vnwoodknot,p4_a4_combined,43,0.02,0.05,0.013333333333333334,75,0,0.0,0,0.0,292,155,141,151,14,0.4828767123287671,0.9096774193548387,0.8119442933795187
vnwoodknot,p4_a4_combined,44,0.02,0.05,0.0,75,0,0.0,0,0.0,311,155,144,167,11,0.4630225080385852,0.9290322580645162,0.8572319931468275
vnwoodknot,p4_a4_combined,42,0.05,0.05,0.013333333333333334,75,1,0.013333333333333334,1,0.013333333333333334,302,155,143,159,12,0.4735099337748344,0.9225806451612903,0.8530649669594415
vnwoodknot,p4_a4_combined,43,0.05,0.05,0.013333333333333334,75,0,0.0,0,0.0,292,155,141,151,14,0.4828767123287671,0.9096774193548387,0.8119442933795187
vnwoodknot,p4_a4_combined,44,0.05,0.05,0.0,75,0,0.0,0,0.0,311,155,144,167,11,0.4630225080385852,0.9290322580645162,0.8572319931468275
vsb_rarefirst,baseline,42,0.0,0.85,0.0,2988,0,0.0,0,0.0,110,1173,104,6,1069,0.9454545454545454,0.0886615515771526,0.08834612408183858
vsb_rarefirst,baseline,43,0.0,0.85,0.0,2988,0,0.0,0,0.0,115,1173,109,6,1064,0.9478260869565217,0.09292412617220801,0.09604714716615087
vsb_rarefirst,baseline,44,0.0,0.85,0.0,2988,0,0.0,0,0.0,112,1173,108,4,1065,0.9642857142857143,0.09207161125319693,0.09560345309690353
