dataset,variant,seed,threshold,class_id,class_name,rank,confidence,cumulative_tp,cumulative_fp,precision,recall,n_targets_class
vnwoodknot,baseline,42,0.1,1,dead_knot,34,0.734896719455719,33,1,0.9705882352941176,0.4342105263157895,76
vnwoodknot,baseline,42,0.1,1,dead_knot,35,0.723389208316803,34,1,0.9714285714285714,0.4473684210526316,76
vnwoodknot,baseline,42,0.1,1,dead_knot,36,0.7218632698059082,35,1,0.9722222222222222,0.4605263157894737,76
vnwoodknot,baseline,42,0.1,1,dead_knot,37,0.7197051048278809,36,1,0.972972972972973,0.47368421052631576,76
vnwoodknot,baseline,42,0.1,1,dead_knot,38,0.7160523533821106,37,1,0.9736842105263158,0.4868421052631579,76
vnwoodknot,baseline,42,0.1,1,dead_knot,39,0.6921640634536743,38,1,0.9743589743589743,0.5,76
vnwoodknot,baseline,42,0.1,1,dead_knot,40,0.6910369396209717,39,1,0.975,0.5131578947368421,76
vnwoodknot,baseline,42,0.1,1,dead_knot,41,0.674751877784729,40,1,0.975609756097561,0.5263157894736842,76
vnwoodknot,baseline,42,0.1,1,dead_knot,42,0.6653639674186707,41,1,0.9761904761904762,0.5394736842105263,76
vnwoodknot,baseline,42,0.1,1,dead_knot,43,0.663737952709198,41,2,0.9534883720930233,0.5394736842105263,76
vnwoodknot,baseline,42,0.1,1,dead_knot,44,0.6569886803627014,42,2,0.9545454545454546,0.5526315789473685,76
vnwoodknot,baseline,42,0.1,1,dead_knot,45,0.6559589505195618,43,2,0.9555555555555556,0.5657894736842105,76
vnwoodknot,baseline,42,0.1,1,dead_knot,46,0.63481205701828,44,2,0.9565217391304348,0.5789473684210527,76
vnwoodknot,baseline,42,0.1,1,dead_knot,47,0.6294552683830261,45,2,0.9574468085106383,0.5921052631578947,76
vnwoodknot,baseline,42,0.1,1,dead_knot,48,0.6285374760627747,46,2,0.9583333333333334,0.6052631578947368,76
vnwoodknot,baseline,42,0.1,1,dead_knot,49,0.6259362697601318,46,3,0.9387755102040817,0.6052631578947368,76
vnwoodknot,baseline,42,0.1,1,dead_knot,50,0.6113201379776001,47,3,0.94,0.618421052631579,76
vnwoodknot,baseline,42,0.1,1,dead_knot,51,0.6076761484146118,48,3,0.9411764705882353,0.631578947368421,76
vnwoodknot,baseline,42,0.1,1,dead_knot,52,0.6072447896003723,49,3,0.9423076923076923,0.6447368421052632,76
vnwoodknot,baseline,42,0.1,1,dead_knot,53,0.5687313675880432,50,3,0.9433962264150944,0.6578947368421053,76
vnwoodknot,baseline,42,0.1,1,dead_knot,54,0.5591299533843994,51,3,0.9444444444444444,0.6710526315789473,76
vnwoodknot,baseline,42,0.1,1,dead_knot,55,0.5474238991737366,52,3,0.9454545454545454,0.6842105263157895,76
vnwoodknot,baseline,42,0.1,1,dead_knot,56,0.5309278964996338,52,4,0.9285714285714286,0.6842105263157895,76
vnwoodknot,baseline,42,0.1,1,dead_knot,57,0.5162022709846497,53,4,0.9298245614035088,0.6973684210526315,76
vnwoodknot,baseline,42,0.1,1,dead_knot,58,0.5132321119308472,54,4,0.9310344827586207,0.7105263157894737,76
vnwoodknot,baseline,42,0.1,1,dead_knot,59,0.5093096494674683,55,4,0.9322033898305084,0.7236842105263158,76
vnwoodknot,baseline,42,0.1,1,dead_knot,60,0.5011441707611084,56,4,0.9333333333333333,0.7368421052631579,76
vnwoodknot,baseline,42,0.1,1,dead_knot,61,0.48476606607437134,57,4,0.9344262295081968,0.75,76
vnwoodknot,baseline,42,0.1,1,dead_knot,62,0.48011139035224915,58,4,0.9354838709677419,0.7631578947368421,76
vnwoodknot,baseline,42,0.1,1,dead_knot,63,0.47253918647766113,59,4,0.9365079365079365,0.7763157894736842,76
vnwoodknot,baseline,42,0.1,1,dead_knot,64,0.4715350270271301,59,5,0.921875,0.7763157894736842,76
vnwoodknot,baseline,42,0.1,1,dead_knot,65,0.4568658471107483,59,6,0.9076923076923077,0.7763157894736842,76
vnwoodknot,baseline,42,0.1,1,dead_knot,66,0.43977412581443787,60,6,0.9090909090909091,0.7894736842105263,76
vnwoodknot,baseline,42,0.1,1,dead_knot,67,0.43501579761505127,60,7,0.8955223880597015,0.7894736842105263,76
vnwoodknot,baseline,42,0.1,1,dead_knot,68,0.40274178981781006,61,7,0.8970588235294118,0.8026315789473685,76
vnwoodknot,baseline,42,0.1,1,dead_knot,69,0.39771509170532227,61,8,0.8840579710144928,0.8026315789473685,76
vnwoodknot,baseline,42,0.1,1,dead_knot,70,0.3702659606933594,62,8,0.8857142857142857,0.8157894736842105,76
